WKT,t50_fid,grp_ascii,grp_name,name_ascii,macronated,name,grp_macron
"POLYGON ((3506138.1598632 5145684.63240786,3506140.82275274 5145693.62977073,3506147.98788354 5145699.84537749,3506155.06765454 5145700.72766367,3506172.92438721 5145699.04455695,3506172.03119626 5145690.04554081,3506169.37319159 5145686.38142366,3506156.90302325 5145684.61519816,3506146.20330514 5145683.73614368,3506138.1598632 5145684.63240786))",5454472,Chatham Islands,Chatham Islands,,N,,N
"POLYGON ((3506339.45870648 5145470.51125631,3506335.04550639 5145482.07078024,3506337.70937258 5145491.9568924,3506349.29702157 5145496.3902674,3506360.71778417 5145494.60164768,3506363.5272704 5145488.37687246,3506362.63903953 5145484.82225195,3506356.43660282 5145475.82834562,3506347.50267506 5145470.50359142,3506339.45870648 5145470.51125631))",5454471,Chatham Islands,Chatham Islands,,N,,N
"POLYGON ((3506133.33727753 5145352.81100708,3506130.6909211 5145361.70210487,3506131.98453324 5145368.81194679,3506134.23971241 5145372.03206504,3506144.93973217 5145373.79994381,3506156.52212129 5145372.90037308,3506159.65636303 5145369.78644476,3506159.65268063 5145365.78654797,3506153.85645099 5145360.7919377,3506142.74857003 5145352.80236465,3506136.87404457 5145350.03000275,3506133.33727753 5145352.81100708))",5454470,Chatham Islands,Chatham Islands,,N,,N
"POLYGON ((3506075.63991054 5145359.34368371,3506068.00109739 5145362.46174536,3506066.72229008 5145371.46271554,3506069.78620245 5145379.45980347,3506077.83453009 5145384.34123467,3506091.19150288 5145388.8845563,3506098.35099799 5145389.32246768,3506101.88505947 5145383.54154076,3506102.76727863 5145380.76301635,3506100.59062049 5145375.43172464,3506094.30785821 5145366.10436873,3506084.08595381 5145359.33601807,3506075.63991054 5145359.34368371))",5454468,Chatham Islands,Chatham Islands,,N,,N
"POLYGON ((3505778.24665112 5144970.0991956,3505762.65283578 5144982.11256489,3505756.79702441 5145000.45058609,3505759.94787674 5145016.55869239,3505766.15219506 5145029.10857086,3505780.87912417 5145037.65126176,3505803.64453596 5145040.29804247,3505804.52893444 5145039.85284119,3505818.76241568 5145035.84054302,3505825.02571325 5145023.7241411,3505824.12718495 5145008.05860528,3505816.06698076 5144988.84378556,3505799.16181439 5144972.74770474,3505778.24665112 5144970.0991956))",5454467,Chatham Islands,Chatham Islands,,N,,N
"POLYGON ((3505920.99449307 5143920.43329397,3505911.19337227 5143931.99732791,3505905.0128771 5143945.44707863,3505910.33016763 5143956.10883528,3505919.25861403 5143957.98974224,3505927.29747584 5143954.31600527,3505928.18134849 5143953.42635435,3505930.82973486 5143947.2018794,3505932.58222367 5143928.42286613,3505931.68888127 5143918.64602559,3505920.99449307 5143920.43329397))",5454466,Chatham Islands,Chatham Islands,,N,,N
"POLYGON ((3505994.74569617 5143805.26549917,3505981.39675843 5143806.16634818,3505969.81000447 5143799.06575031,3505952.84299626 5143800.85865532,3505933.23639479 5143818.65355245,3505926.09726354 5143839.21509929,3505932.30556675 5143857.09822352,3505950.16922416 5143868.74875614,3505970.68044107 5143873.17483961,3505971.56589201 5143874.06291226,3505982.25945357 5143871.38666958,3505989.4136913 5143867.82483417,3506001.86522839 5143852.70272316,3506009.8862788 5143829.36257691,3506017.02601188 5143809.80092928,3506008.97437333 5143799.03065278,3505994.74569617 5143805.26549917))",5454465,Chatham Islands,Chatham Islands,,N,,N
"POLYGON ((3500377.48201662 5144951.72823433,3500364.81963849 5144958.05945281,3500360.3841563 5144965.74110491,3500357.43307577 5144974.94285304,3500357.4331052 5144990.77084037,3500364.81971698 5145000.26761902,3500373.26111418 5145002.37840164,3500390.78529954 5145002.01491934,3500408.05837035 5144993.72364386,3500414.62233878 5144979.55959299,3500414.62231437 5144966.4319035,3500407.02780877 5144960.17017263,3500399.64121466 5144960.17018637,3500394.36541494 5144958.05939787,3500386.97880905 5144951.72821667,3500377.48201662 5144951.72823433))",5454464,Chatham Islands,Chatham Islands,,N,,N
"POLYGON ((3495523.12634296 5144069.75733364,3495503.44398253 5144082.55116012,3495496.55540088 5144089.43976746,3495494.58682081 5144099.28096325,3495502.4600329 5144109.12214068,3495515.25323372 5144115.02671207,3495524.11042666 5144115.02669555,3495533.95160779 5144109.12208191,3495547.72938579 5144103.21746093,3495556.5859622 5144094.36025149,3495556.58594383 5144084.51905938,3495551.66532204 5144070.74127959,3495537.88812385 5144065.82070924,3495523.12634296 5144069.75733364))",5454463,Chatham Islands,Chatham Islands,,N,,N
"POLYGON ((3501059.99023771 5137244.3133948,3501031.95386227 5137259.0957853,3501028.26059185 5137273.42970585,3501034.68960582 5137283.6507608,3501042.16102163 5137281.87174831,3501052.1230359 5137280.314431,3501079.99921601 5137267.97636387,3501088.51288346 5137254.086059,3501082.24406482 5137241.42060567,3501059.99023771 5137244.3133948))",5454462,Chatham Islands,Chatham Islands,,N,,N
"POLYGON ((3501801.69315534 5133133.58775113,3501796.01508763 5133148.55789995,3501800.91890879 5133161.97943029,3501810.98510765 5133165.59290872,3501825.18110232 5133168.69022987,3501833.69839471 5133168.17391442,3501839.63508239 5133164.04425661,3501841.69966108 5133153.46191107,3501831.63375501 5133145.97678568,3501824.92275304 5133142.10530121,3501814.08224566 5133133.58772807,3501801.69315534 5133133.58775113))",5454461,Chatham Islands,Chatham Islands,,N,,N
"POLYGON ((3501588.88664992 5132719.10599737,3501588.23568314 5132736.6793848,3501598.88585748 5132754.21630123,3501612.96889776 5132754.90372447,3501618.82668107 5132748.39521866,3501618.82666047 5132737.33032734,3501614.92123928 5132724.31304482,3501605.80902216 5132711.29547199,3501598.64921321 5132703.48499145,3501588.88664992 5132719.10599737))",5454460,Chatham Islands,Chatham Islands,,N,,N
"POLYGON ((3501677.71668534 5132453.09731553,3501668.65000431 5132486.34210635,3501670.74237735 5132499.59354207,3501679.34412367 5132501.22087478,3501685.3886486 5132490.29427209,3501695.61784691 5132466.81372145,3501697.94251999 5132453.32977769,3501693.06046428 5132448.21516579,3501677.71668534 5132453.09731553))",5454459,Chatham Islands,Chatham Islands,,N,,N
